iae_code;iae_name
"1.433";"Industria de la seda natural y sus mezclas"
"1.434";"Industria de las fibras duras y sus mezclas"
"1.436";"Acabado de textiles"
"1.441";"Curtición y acabado de cueros y pieles"
"1.451";"Fabricación en serie de calzado"
"1.452";"Fabricación de calzado de artesanía y a medida"
"1.453";"Confección en serie de toda clase de prendas de vestir"
"1.454";"Confección a medida de prendas de vestir y sus complementos"
"1.461";"Aserrado y preparación industrial de la madera"
"1.463";"Fabricación en serie de piezas de carpintería y parquet"
"1.464";"Fabricación de envases y embalajes de madera"
"1.465";"Fabricación de objetos diversos de madera"
"1.466";"Fabricación de productos de corcho"
"1.467";"Fabricación de artículos de junco y caña, cesterías, brochas"
"1.471";"Fabricación de pasta papelera"
"1.472";"Fabricación de papel y cartón"
"1.474";"Artes gráficas (impresión gráfica)"
"1.475";"Actividades anexas a las artes gráficas"
"1.492";"Fabricación de instrumentos de música"
"1.493";"Laboratorios fotográficos y cinematográficos"
"1.507";"Construcción, reparación y conservación de toda clase obras"
"1.508";"Agrupaciones y uniones temporales de empresas"
"1.611";"Venta al por mayor de toda clase de mercancías"
"1.621";"Venta al por mayor de chatarra y metales de desecho férreos y no férreos"
"1.622";"Venta al por mayor de otros productos de recuperación"
"1.623";"Recuperación y comercio de residuos fuera de establecimiento permanente"
"1.631";"Intermediarios del comercio"
"1.641";"Venta al por menor de frutas, verduras, hortalizas y tubérculos"
"1.645";"Venta al por menor de vinos y bebidas de todas clases"
"1.656";"Venta al por menor de bienes usados"
"1.657";"Venta al por menor de instrumentos musicales y sus accesorios"
"1.665";"Venta al por menor por correo o catálogo de productos diversos"
"1.675";"Servicios de restaurante y cafetería en quioscos, cajones, barracas"
"1.676";"Servicios en chocolatería, heladerías y horchaterías"
"1.681";"Servicios de hospedaje en hoteles y moteles"
"1.682";"Servicio de hospedaje en hostales y pensiones"
"1.683";"Fondas, casas de huéspedes y alojamientos turísticos agrícolas"
"1.684";"Servicios de hospedaje en hoteles-apartamentos"
"1.685";"Alojamientos turísticos extrahoteleros"
"1.686";"Explotación de apartamentos privados a través de agencias"
"1.692";"Reparación de maquinaria industrial"
"1.699";"Otras reparaciones n.c.o.p"
"1.711";"Transporte ferroviario por vía normal"
